koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_srho,koi_prad,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky,is_confirmed,log_koi_period,log_koi_prad,log_koi_teq,log_koi_insol,log_koi_depth,stellar_density,planet_to_star_radius_ratio
1.0,0,0,0,0,9.48803557,170.53875,0.146,2.9575,615.8,3.20796,2.26,89.66,793.0,93.59,24.81,0.2291,5.135849,28.47082,35.8,2,142.0,1.0,0.6864,5455.0,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347,0.002,0.43,0.94,-0.0002,-0.00055,-0.01,0.2,0.2,0.08,0.31,0.32,1,2.3502351379506896,1.1817271953786161,6.677083461247136,4.549551762225079,6.4245448222491195,1.1536559464273712,0.022325750481090284
0.969,0,0,0,0,54.4183827,162.51384,0.586,4.507,874.8,3.02368,2.83,89.57,443.0,9.11,77.9,0.2291,7.027669,20.109507,25.8,2,25.0,2.0,0.0023,5455.0,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347,0.003,-0.63,1.23,0.00066,-0.00105,0.39,0.0,0.39,0.49,0.12,0.5,1,4.014911356403454,1.3428648031925547,6.095824562432225,2.3135250330323798,6.775137754367298,1.1536559464273712,0.027956581354639607
0.0,0,1,0,0,1.736952453,170.307565,1.276,2.40641,8079.2,0.2208,33.46,67.09,1395.0,891.96,3.278,0.2865,39.06655,541.8951,505.6,1,621.0,1.0,0.0,5805.0,4.564,-0.52,0.791,0.836,285.53461,48.28521,15.597,0.0,-0.111,0.002,0.00302,-0.00142,-0.249,0.147,0.289,-0.257,0.099,0.276,0,1.0068450579675678,3.5397992310997837,7.241366283322318,6.7945417870401235,8.997171903684052,1.6891834859013217,0.3873707413530422
1.0,0,0,0,0,2.525591777,171.59555,0.701,1.6545,603.3,1.98635,2.75,85.41,1406.0,926.16,8.75,0.2844,4.749945,33.1919,40.9,1,515.0,1.0,0.309,6031.0,4.438,0.07,1.046,1.095,288.75488,48.2262,15.509,0.733,-0.01,0.23,8e-05,-7e-05,0.03,-0.09,0.1,0.07,0.02,0.07,1,1.2600483021739617,1.3217558399823195,7.249215057114389,6.832126150456476,6.404070763367513,0.9567953711333922,0.024075669391156962
1.0,0,0,0,0,11.09432054,171.20116,0.538,4.5945,1517.5,0.67324,3.9,88.11,835.0,114.81,16.36,0.2889,9.046456,55.204865,66.5,3,95.0,1.0,0.0975,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,,-0.12,0.14,4e-05,,0.04,-0.07,0.08,-0.02,-0.08,0.08,1,2.492735965551391,1.589235205116581,6.728628613084702,4.751950917196286,7.325478284485803,1.1466465703624673,0.036743092298647854
1.0,0,0,0,0,4.13443512,172.97937,0.762,3.1402,686.0,0.37377,2.77,83.72,1160.0,427.65,6.96,0.2889,5.500643,33.546658,40.2,3,240.0,2.0,0.546,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,,0.14,-0.32,-0.00016,,0.25,0.09,0.26,0.18,0.06,0.19,1,1.6359698314871762,1.3270750014599193,7.057036981697891,6.060640735124765,6.532334292222349,1.1466465703624673,0.02609701683775758
0.992,0,0,0,0,2.56658897,179.55437,0.755,2.429,226.5,0.48909,1.59,82.17,1360.0,807.74,5.54,0.2889,4.3886313,12.325094,15.0,3,355.0,3.0,0.4352,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,,0.1,0.3,-4e-05,,-0.33,-0.3,0.45,-0.41,-0.29,0.5,1,1.2716096684503242,0.9516578757114464,7.215975002651466,6.695477480978234,5.427150238391005,1.1466465703624673,0.014979876090987203
0.0,0,1,1,0,7.36178958,132.25053,1.169,5.022,233.7,0.00485,39.21,60.92,1342.0,767.22,2.4,0.305,10.964684,46.15308,47.7,1,185.0,1.0,0.7213,6227.0,3.986,0.0,1.958,1.358,298.86435,42.151569,12.66,0.0,-13.45,24.09,0.003032,-0.005549,-4.506,7.71,8.93,-4.537,7.713,8.948,0,2.123672468781356,3.6941157209091826,7.202661196523238,6.644076150459651,5.458308102856978,0.18090963922249467,0.18338403169863843
1.0,0,0,0,0,16.06864674,173.621937,0.052,3.5347,4914.3,3.6659,5.76,89.92,600.0,30.75,36.85,0.1451,20.457163,137.44981,161.9,3,69.0,1.0,0.1819,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,0.063,0.033,-0.044,0.00026,0.00049,0.041,-0.015,0.044,0.005,0.03,0.031,1,2.8372432565694368,1.9110228900548727,6.398594934535208,3.457892725338701,8.500108068358424,1.3135450111501443,0.06220194899440182
0.811,0,0,0,0,2.470613377,122.763305,0.818,1.74319,14231.0,1.83538,13.04,84.41,1339.0,761.46,8.3977,0.2676,544.1701,6468.04,4304.3,1,432.0,1.0,0.1522,5820.0,4.457,-0.06,0.964,0.971,286.80847,49.316399,11.338,0.0,-0.0232,0.1066,-0.00012,0.00078,-0.009,-0.3,0.3,0.015,-0.27,0.27,1,1.244331344043603,2.641910398597665,7.200424892944957,6.636550048089151,9.563248229345671,1.0838972843834276,0.1238733603878832
